,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Percentage,EU_Percentage,JP_Percentage,Other_Percentage,NA_average,EU_average,JP_average,Other_average
0,1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,50.15,35.07,4.56,10.22,45.39,22.9,24.42,6.48
1,2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,72.27,8.9,16.92,1.91,45.39,22.9,24.42,6.48
2,3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,44.25,35.96,10.58,9.24,45.39,22.9,24.42,6.48
3,4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,47.73,33.36,9.94,8.97,45.39,22.9,24.42,6.48
4,5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,35.93,28.34,32.58,3.19,45.39,22.9,24.42,6.48
5,6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,76.67,7.47,13.95,1.92,45.39,22.9,24.42,6.48
6,7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,37.92,30.76,21.66,9.66,45.39,22.9,24.42,6.48
7,8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,48.35,31.7,10.1,9.82,45.39,22.9,24.42,6.48
8,9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,50.98,24.67,16.42,7.9,45.39,22.9,24.42,6.48
9,10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,95.13,2.23,0.99,1.66,45.39,22.9,24.42,6.48
10,11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,36.63,44.43,7.79,11.11,45.39,22.9,24.42,6.48
11,12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,41.89,32.32,17.63,8.2,45.39,22.9,24.42,6.48
12,13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,38.96,26.75,31.17,3.07,45.39,22.9,24.42,6.48
13,14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,39.35,35.34,15.85,9.46,45.39,22.9,24.42,6.48
14,15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,41.32,39.05,11.5,8.14,45.39,22.9,24.42,6.48
15,16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,68.61,22.64,1.1,7.65,45.39,22.9,24.42,6.48
16,17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,32.76,43.32,4.53,19.35,45.39,22.9,24.42,6.48
17,18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,45.31,1.92,1.97,50.79,45.39,22.9,24.42,6.48
18,19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,62.01,18.2,17.18,2.67,45.39,22.9,24.42,6.48
19,20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,23.49,45.8,20.57,10.14,45.39,22.9,24.42,6.48
20,21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,34.97,24.62,32.9,7.46,45.39,22.9,24.42,6.48
21,22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,59.7,14.94,23.04,2.32,45.39,22.9,24.42,6.48
22,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,55.21,19.91,22.22,2.66,45.39,22.9,24.42,6.48
23,24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,58.79,32.42,0.37,8.42,45.39,22.9,24.42,6.48
24,25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,52.07,33.99,2.91,11.02,45.39,22.9,24.42,6.48
25,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,38.23,24.61,33.94,3.15,45.39,22.9,24.42,6.48
26,27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,36.36,21.41,36.88,5.35,45.39,22.9,24.42,6.48
27,28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,22.48,35.03,34.77,7.71,45.39,22.9,24.42,6.48
28,29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,45.73,33.98,12.48,7.74,45.39,22.9,24.42,6.48
29,30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,61.18,29.0,0.88,8.94,45.39,22.9,24.42,6.48
30,31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,40.23,34.43,21.31,4.03,45.39,22.9,24.42,6.48
